"","Drug","log2MIC","Gene","log2FC"
"7135","Cipro",-2,"gene128",0.689858954
"7136","Cipro",-1,"gene128",0.782537767
"7137","Cipro",0,"gene128",1.307542321
"7138","Cipro",1,"gene128",1.53646129
"7139","Cipro",2,"gene128",2.636274035
"7140","Cipro",3,"gene128",-1.564162602
"7141","Levo",-3,"gene128",-0.099386873
"7142","Levo",-2,"gene128",0.974109585
"7143","Levo",-1,"gene128",1.169531433
"7144","Levo",0,"gene128",0.837192762
"7145","Levo",1,"gene128",-2.037867299
"7146","Levo",2,"gene128",-1.712179959
"7147","Levo",3,"gene128",-4.172635855
"7148","PAS",-3,"gene128",0.541850393
"7149","PAS",-2,"gene128",0.91086212
"7150","PAS",-1,"gene128",0.468125836
"7151","PAS",0,"gene128",0.757695179
"7152","PAS",1,"gene128",1.298836784
"7153","PAS",2,"gene128",1.665399391
"7154","PAS",3,"gene128",0.353740699
"7155","Line",-3,"gene128",-0.915959824
"7156","Line",-2,"gene128",-1.9319324
"7157","Line",-1,"gene128",-2.033865395
"7158","Line",0,"gene128",-1.637300409
"7159","Line",1,"gene128",-2.597954064
"7160","Line",2,"gene128",-2.471891189
"7161","Line",3,"gene128",-1.712164621
"7162","Rif",-3,"gene128",-0.020083081
"7163","Rif",-2,"gene128",0.28578954
"7164","Rif",-1,"gene128",-0.172395178
"7165","Rif",0,"gene128",-0.840781313
"7166","Rif",1,"gene128",-1.455189801
"7167","Rif",2,"gene128",-2.362377776
"7168","Rif",3,"gene128",-3.560196505
"7169","Ethi",-3,"gene129",-0.296222064
"7170","Ethi",-2,"gene129",-0.415519051
"7171","Ethi",-1,"gene129",0.356161722
"7172","Ethi",0,"gene129",0.112219641
"7173","Ethi",1,"gene129",-0.109024285
"7174","Ethi",2,"gene129",-0.386816793
"7175","Ethi",3,"gene129",-1.390598906
"7176","KasA",-3,"gene129",-0.374577892
"7177","KasA",-2,"gene129",-0.085381716
"7178","KasA",-1,"gene129",-0.531902211
"7179","KasA",0,"gene129",-1.071477571
"7180","KasA",1,"gene129",-1.139852864
"7181","KasA",2,"gene129",-1.453342129
